date,description,amount,category
2026-02-01,DIRECT DEPOSIT - EMPLOYER,1400.00,income
2026-02-01,RENT PAYMENT - APT 4B,-1100.00,housing
2026-02-03,GROCERY STORE - ALDI,-87.50,groceries
2026-02-05,CHASE VISA MIN PAYMENT,-96.00,debt_payment
2026-02-06,SOFI PERSONAL LOAN PAYMENT,-75.00,debt_payment
2026-02-07,GAS STATION - SHELL,-38.00,gas
2026-02-08,COFFEE SHOP - STARBUCKS,-8.50,dining
2026-02-10,T-MOBILE PAYMENT,-85.00,phone
2026-02-11,GROCERY STORE - ALDI,-92.30,groceries
2026-02-12,NETFLIX,-15.99,subscription
2026-02-12,HULU,-17.99,subscription
2026-02-12,SPOTIFY,-10.99,subscription
2026-02-13,PLANET FITNESS,-29.99,subscription
2026-02-14,AMAZON PRIME,-14.99,subscription
2026-02-15,DIRECT DEPOSIT - EMPLOYER,1400.00,income
2026-02-15,ELECTRIC COMPANY,-95.00,utilities
2026-02-15,CITY WATER DEPT,-45.00,utilities
2026-02-16,SPECTRUM INTERNET,-55.00,internet
2026-02-17,GROCERY STORE - ALDI,-78.90,groceries
2026-02-18,TARGET,-42.00,shopping
2026-02-19,GAS STATION - SHELL,-35.00,gas
2026-02-20,DOORDASH,-18.50,dining
2026-02-22,GROCERY STORE - ALDI,-95.20,groceries
2026-02-24,WALGREENS PHARMACY,-15.00,medical
2026-02-25,GAS STATION - BP,-40.00,gas
